en,zh
bridge,橋
bright,明亮的
bring,帶來
broad,寬廣的
broadcast,廣播
brother,兄弟
brown,咖啡色(的)
brunch,早午餐
brush,刷
bucket,水桶
buffet,自助餐館
build,建造
building,建築物
bun,小圓麵包
bundle,一捆(卷、束)
burn,燒
burst,迸裂、爆發
bus,公車
business,生意
businessman,商人
busy,忙碌的
but,但是
butter,奶油、黃油
butterfly,蝴蝶
button,鈕扣
buy,買
by,在…旁、不遲於、藉由
cabbage,包心菜
cable,電纜線
cafeteria,自助餐館
cage,籠子
cake,蛋糕
calendar,月(日)曆
call,打電話、叫
calm,使冷靜
camera,照相機
camp,露營
camping,露營
campus,校園
can,罐頭
cancel,取消
cancer,癌症(grandma) (祖母、外婆)
candle,蠟燭
candy,糖果
captain,領隊、機(艦)長
car,汽車
card,牌
care,關心、在意
careful,仔細、小心的
careless,粗心的
carpet,地毯
carrot,胡蘿蔔
carry,攜帶
cartoon,卡通
case,盒子、案件
cassette,卡式磁帶
castle,城堡
cat,貓
catch,捉、接
cause,因素
ceiling,天花板
celebrate,慶祝
cellphone,手機
cent,分(錢)
center,中心
centimeter,公分
central,中心的
century,一世紀
cereal,穀物麥片
chair,椅子
chance,機會
channel,頻道
character,角色、個性
charge,索價
chart,表格
chase,追逐
cheap,便宜的
cheat,欺騙、作弊
check,檢查
cheese,起司
chemistry,化學
chess,西洋棋
chicken,雞
child,小孩
childhood,童年
childish,幼稚的
childlike,天真的
chin,下巴
china,中國
chinese,國文
chocolate,巧克力
choice,選擇
choose,選擇
chopsticks,筷子
christmas,聖誕節
chubby,圓胖的
church,教堂
circle,圓
city,城市
clap,拍(手)
class,班級
classical,古典的、經典的
classmate,同班同學
classroom,教室
clean,打掃
clear,晴朗的
clerk,店員
clever,機敏、伶俐的
climate,氣候
climb,攀爬
clock,時鐘
close,關閉
closet,衣櫥(櫃)
clothes,衣服
cloud,雲
cloudy,多雲的
club,社團、俱樂部
coach,教練
coast,海岸
cockroach,蟑螂
coffee,咖啡
coin,硬幣
cola,可樂
cold,冷的
collect,選擇
college,大學、學院
color,顏色
colorful,多采多姿的
comb,梳子
come,來
comfortable,舒適的
comic,漫畫
command,命令
comment,下評論
common,普遍的、一般的
company,公司
compare,比較
complain,抱怨
complete,完成
computer,電腦
concern,使關心
confident,有自信的
confuse,使困惑
congratulation,恭喜
consider,考慮、認為
considerate,體貼的
continue,繼續
contract,合約、契約
control,控制
convenient,便利的
conversation,對話
cook,烹飪
cookie,餅乾
cooking,烹飪
cool,酷的
copy,拷貝、影印
corn,玉米
corner,轉角、角落
correct,修正
cotton,棉花
couch,長沙發
cough,咳嗽
count,計算、數
country,國家
couple,情侶、夫妻
courage,勇氣(不可數)
course,課程
court,球場、法庭
cousin,堂表兄弟姐妹
cover,覆蓋
cow,牛、母牛
cowboy,牛仔
crab,螃蟹
crayon,蠟筆
crazy,瘋狂、狂熱的
cream,奶油、乳脂
create,創造
crime,罪行
cross,越過、渡過
crowd,人群
crowded,擁擠的
cruel,冷酷的
cry,哭泣、大叫
culture,文化
cup,一杯
cure,治療
curious,好奇的
current,現行的
curtain,窗簾
curve,曲線、道路彎曲處
custom,風(習)俗
customer,顧客
cut,切、砍、割
cute,可愛的
daily,日常的
damage,損害
dance,跳舞
dancing,跳舞
danger,危險
dangerous,危險的
dark,黑暗的
date,約會
daughter,女兒
dawn,清晨
day,天
dead,死亡的
deaf,聾的
deal,經營、處理
dear,親愛的
death,死亡
debate,辯論
december,十二月
decide,決定
decision,決定
decorate,裝飾
decrease,減少
deep,深的
deer,鹿
degree,度、度數
delicious,美味的
deliver,遞送
dentist,牙醫
department,部門
depend,依靠
describe,描述、敘述
desert,沙漠
design,設計
desire,慾望、渴望
desk,書桌
dessert,甜點
detect,描寫
develop,發展
dial,撥打
diamond,鑽石
diary,日記
dictionary,字典
die,死亡
diet,飲食
difference,不同
different,不同的
difficult,困難的
difficulty,困難
dig,挖掘
diligent,勤勉的
dinner,晚餐
dinosaur,恐龍
diplomat,外交官
direct,指揮、管理
direction,方向
dirty,髒的
disappear,消失
discover,發現
discuss,討論
discussion,討論
dishonest,不誠實的
distance,距離
divide,劃分、分開
dizzy,頭暈的
doctor,醫生
dog,狗
doll,洋娃娃
dollar,元
dolphin,海豚
donkey,驢子
door,門
dot,點
double,雙倍的
doubt,懷疑
doughnut,甜甜圈
down,往下
downstairs,樓下
downtown,市區、鬧區
dozen,一打
dragon,龍
drama,戲劇
draw,畫
drawer,抽屜
drawing,畫畫
dream,夢想、夢
dress,洋裝
dresser,梳妝檯
drink,飲料
drive,駕駛
driver,司機
drop,掉落
drugstore,藥局
drum,鼓
dry,乾燥的
dryer,吹風機
duck,鴨子
dumb,啞的
dumpling,餃子
during,在…期間
duty,責任
eagle,老鷹
ear,耳朵
early,早的
earn,賺
earrings,耳環
earth,泥土、土地
ease,減緩、使舒適
east,東方(的)
easter,復活節
easy,簡易的
eat,吃
edge,邊緣
education,教育
effort,努力
egg,蛋
eight,八
eighteen,十八
eighty,八十
either,也不
elder,長輩
elect,選舉出
electric,電(動)的
elephant,大象
eleven,十一
else,其他的
embarrass,使尷尬
emotion,情緒
emphasize,強調
employ,僱用
end,結束
enemy,敵人
energetic,有活力的
energy,活力
engine,引擎
engineer,工程師
english,英文
enjoy,享受
enough,足夠的
enter,進入
entrance,入口、進入
envelope,信封
environment,環境
envy,妒忌、羨慕
equal,平等的
eraser,擦子、板擦
error,錯誤、過失
especially,尤其是
even,甚至
evening,傍(夜)晚
event,事件、比賽項目
ever,曾經
everywhere,到處
evil,邪惡的
exam,考試
example,例子
excellent,傑出的
except,除…之外
excite,使興奮
excited,感到興奮的
exciting,刺激的
excuse,藉口
exercise,運動
exist,存在
exit,出口
expect,期待
expensive,昂貴的
experience,經驗
explain,解釋
express,表達
extra,多(餘)的
eye,眼睛
face,臉
fact,事實
factory,工廠
fail,考不及格
fair,公平的、相當的
fall,掉、跌落
false,錯的
family,家人、家庭
famous,有名的
fan,電扇
fancy,別緻的
fantastic,極好的、驚人的
far,遠的
farm,農場、農田
farmer,農夫
fashionable,時髦的
fast,速度快的
fat,胖的
father,父親
faucet,水龍頭
fault,錯誤、缺點
favorite,最喜愛的
fear,恐懼
february,二月
fee,費用
feed,餵食
feel,感覺、感到
feeling,感覺
fence,圍牆
festival,節慶
fever,發燒
fifteen,十五
fifty,五十
fight,打鬥、吵架
fill,充滿
film,影片
final,期末考
finally,最後的
find,發現、找到
fine,好的
finger,手指
finish,完成 + V-ing
fire,火
first,第一
fish,魚
fisherman,漁夫
fishing,釣魚
fit,使適合
five,五
fix,修理
flag,旗子
flashlight,手電筒
flight,班機、航班
floor,地板、樓層
flour,麵粉
flower,花
flu,流行性感冒
flute,笛子
fly,駕駛(飛機)
focus,使集中
fog,霧
foggy,多霧的
follow,跟隨
food,食物
fool,呆子
foolish,愚蠢的
foot,腳
football,橄欖球
for,為了
foreign,外國的
foreigner,外國人
forest,森林
forget,忘記
forgive,原諒
fork,叉子
form,形成
formal,正式的
former,前者的
forty,四十
forward,往前
four,四
fourteen,十四
fox,狐狸
frank,坦白、直率的
free,免費的、自由的
freedom,自由
freezer,冷藏箱
freezing,極冷的
fresh,新鮮的
friday,週五
friend,朋友
friendly,友善的
friendship,友誼
frighten,使驚恐、嚇唬
frisbee,飛盤
frog,青蛙
from,從、來自於
front,前面的
fruit,水果
fry,煎、炸
full,飽的
fun,樂趣
funny,好笑、古怪的
furniture,家具(不可數)
future,未來
gain,得到
game,遊戲
garage,車庫
garbage,垃圾
garden,花園
gas,天然氣
gate,大門
gather,聚集
general,一般的
generous,大方、慷慨的
genius,天才
gentle,溫和的
gentleman,紳士
geography,地理
gesture,手勢
get,得到
ghost,鬼魂
giant,巨人
gift,禮物、才賦
girl,女孩
give,給
glad,高興的
glass,玻璃杯
glasses,眼鏡
glove,手套
glue,膠水
go,去
goal,目標
goat,山羊
god,上帝、神
gold,金子
golden,金(黃)色(的)
golf,高爾夫球
good,好的
goodness,女神
goose,鵝
government,政府
grade,年級
gram,公克
granddaughter,孫女
grandfather,祖父、外公
grandmother,祖母、外婆
grandson,孫子
grape,葡萄
grass,草、草地
gray,灰色(的)
great,很棒的
greedy,貪心的
green,綠色(的)
greet,打招呼、問候
ground,地面
group,團體、小組
grow,成長
guard,警衛
guava,番石榴
guess,猜測
guest,客人、來賓
guide,引導
guitar,吉他
gun,槍
guy,傢伙
gym,體育館
habit,習慣
hair,頭髮
haircut,理髮
half,半(小時)
hall,大廳、走廊
halloween,萬聖節
ham,火腿
hamburger,漢堡
hammer,榔頭
hand,手
handkerchief,手帕
handle,處理、操作
handsome,帥的
hang,懸掛
hanger,衣架
happen,發生
happy,快樂的
hard,困難的、堅硬的
hardly,幾乎不
hate,討厭、恨
head,頭
headache,頭痛
health,健康
healthy,健康的
hear,聽到
heart,心(臟)
heat,熱氣、熱
heater,暖氣
heavy,重的
height,高度
helicopter,直升機
hello,哈囉
help,幫忙
helpful,有幫助的
hen,母雞
her,她的
here,這裡
hero,英雄
herself,她自己
hey,嘿(引起注意)
hi,嗨
hide,躲藏
high,高的
highway,高速公路
hike,健行
hiking,健行
hill,山丘
himself,他自己
hip,臀部
hippo,河馬
hire,僱用
his,他的
history,歷史
hit,打擊
hobby,嗜好
hold,握、舉辦
hole,洞
holiday,假日
home,家
homesick,想家的
homework,功課
honest,誠實的
honesty,誠實
honey,蜂蜜
hop,跳
hope,希望
horrible,悲慘的、可怕的
horse,馬
hospital,醫院
host,男主(持)人
hot,熱的
hotel,飯店
hour,小時、鐘頭
house,房屋
housewife,家庭主婦
housework,家事
how,如何
however,然而
hug,擁抱
human,人類
humble,謙虛的
humid,潮濕的
humor,幽默
humorous,幽默的
hundred,百
hunger,飢餓
hungry,飢餓的
hunt,打獵
hunter,獵人
hurry,趕快
hurt,使受傷
husband,丈夫
ice,冰、冰塊
idea,點子、想法
if,如果、是否
ignore,忽視
ill,生病的
imagine,想像 + V-ing
impolite,不禮貌的
importance,重要性
important,重要的
impossible,不可能的
improve,改善
in,在…之中
inch,英吋
include,包含
income,收入
increase,增加
independent,獨立的
indicate,指示、表明
influence,影響力、作用
information,資訊 (不可數)
ink,墨水
insect,昆蟲
inside,在…裡面
insist,堅持
inspire,激發、鼓舞
instant,立即的
instrument,樂器
intelligent,有才智的
interested,感到有興趣的
interesting,有趣的
international,國際的
internet,網際網路
interrupt,中斷、打擾
interview,訪問、面談
into,進去…
introduce,介紹
invent,發明
invitation,邀請
invite,邀請
iron,熨斗
island,島
its,它的
itself,它自己
jacket,夾克
jam,果醬
january,一月
jazz,爵士
jealous,忌妒的
jeans,牛仔褲
jeep,吉普車
job,工作
jog,慢跑
jogging,慢跑
join,參加、加入
joke,玩笑、笑話
journalist,新聞記者
joy,歡喜、喜樂
judge,法官
juice,果汁
july,七月
jump,跳躍
june,六月
kangaroo,袋鼠
keep,保持
ketchup,番茄醬
key,鑰匙
kick,踢
kid,孩童、青年
kill,殺(死)
kilogram,公斤
kilometer,公里
kind,種類
kindergarten,幼稚園
king,國王
kingdom,王國
kiss,親吻
kitchen,廚房
kite,風箏
kitten,小貓
knee,膝蓋
knife,刀子
knock,敲擊
know,知道、認識
knowledge,知識
koala,無尾熊
lack,缺乏
lady,淑女、女士
lake,湖泊
lamb,羔羊
lamp,檯燈
land,降落
language,語言
large,大的
last,最後
late,遲(晚)的
later,比較晚的
latest,最新的
latter,後者的
laugh,大笑
law,法律
lawyer,律師
lay,平躺
lazy,懶惰的
lead,引導
leader,領導者
learn,學到、學習
least,最少
leave,離開、遺留
left,左邊(的)
leg,腿
lemon,檸檬
lend,借(出)
less,比較少
lesson,課
let,讓(允許)
letter,信、字母
lettuce,萵苣
level,程度、水平
library,圖書館
lick,舔
lid,蓋子
lie,說謊、躺下
life,生命、生活
lift,提(高)
light,電燈
lightning,閃電
like,像
likely,有可能的
limit,限制
line,線條、列
link,連結
lion,獅子
lip,嘴唇
liquid,液體
list,列(清單)
liter,公升
little,小的、少的
live,居住、(生/過)活
loaf,一條(吐司)
local,當地的
lock,鎖
locker,置物櫃
lonely,孤獨、寂寞的
long,長的
look,注視、看著
lose,輸
loser,輸家
loud,大聲的
love,喜愛
lovely,可愛、美好的
low,低的
lucky,幸運的
lunch,午餐
machine,機器
mad,發狂、惱火的
magazine,雜誌
magic,神奇的
magician,魔術師
mail,郵件
mailman,郵差
main,主要的
major,主要的
make,製作
male,男性
mall,購物中心
man,男人
manager,經理
mango,芒果
manner,方法、方式
map,地圖
march,三月
mark,打分數
marker,簽字筆
market,市場
married,結婚的、已婚的
marry,結婚
marvelous,非凡的
mask,面具
mass,大量
master,主人、大師
mat,墊子
match,使成對
math,數學
mathematics,數學
matter,事件、物質
maximum,最大的
may,五月
maybe,或許
meal,餐(點)
mean,意指
meaning,意思、意義
measure,度量單位
meat,肉類
mechanic,技師
medicine,藥物
medium,中的
meet,碰面、符合
meeting,會議
member,會員、成員
memory,回憶
menu,菜單
message,訊息
metal,金屬
meter,公尺
method,方法、辦法
microwave,微波爐
middle,中間的
midnight,午夜
mile,英哩
milk,牛奶
million,百萬
mind,頭腦、意向
minor,較少的
minus,負的、減的
minute,分鐘
mirror,鏡子
miss,想念、錯過
mistake,錯誤
mix,混合
model,模特兒
modern,現代的
moment,片刻
monday,週一
monkey,猴子
monster,怪物
month,月(份)
moon,月亮
mop,拖地
more,比較多
morning,早上
mosquito,蚊子
most,最多
mother,母親
motion,移動、運行
motorcycle,摩托車
mountain,山
mouse,老鼠
mouth,嘴巴
move,移動、搬家
movement,變遷、運動
movie,電影
mrt,捷運
mud,泥漿
museum,博物館
music,音樂
musician,音樂家
must,必定
my,我的
myself,我自己
nail,指甲
name,名字
napkin,餐巾
narrow,狹窄的
nation,國家
national,國內的
natural,天然的
naughty,頑皮、淘氣的
near,在附近
nearly,幾乎
necessary,必須的
neck,脖子
necklace,項鍊
need,需要
needle,針
negative,否定的、負面的
neighbor,鄰居
neither,也不(倒裝)
nephew,姪子、外甥
nervous,緊張的
nest,巢、窩
net,網子
never,從不
new,新的
news,消息(不可數)
newspaper,報紙
next,下個的
nice,美好、體面的
niece,姪女、外甥女
night,夜晚
nine,九
nineteen,十九
ninety,九十
no,不
nod,點頭
noise,噪音
noisy,吵雜的
noodle,麵條
noon,正午
nor,也不(倒裝)
north,北方(的)
nose,鼻子
not,不
note,筆記、音符
notebook,筆記本
notice,注意 + V-ing
novel,小說
november,十一月
now,現在
number,數字
nurse,護士
nut,堅果
obey,遵守
object,物體、受格
ocean,海洋
october,十月
off,離開…
offer,提供
office,辦公室
often,經常
old,老的
omit,省略、遺漏
on,在…上
once,昔日
one,一
onion,洋蔥
only,唯一的
open,打開
operation,操作
opinion,意見
or,或者、否則
orange,柳橙
order,點餐
ordinary,尋常的
other,其他的
our,我們的
ourselves,我們自己
out,出去
outside,在…之外
oven,烤箱
over,在…之上、超過於
overpass,天橋
overseas,海外的
own,擁有
owner,老闆
ox,牛
pack,打包
package,包裹
page,頁
pain,痛苦
painful,痛苦的
paint,繪畫
painter,畫家
pair,一雙
pajamas,睡衣
pale,蒼白的
pan,平底鍋
panda,貓熊
pants,長褲
papaya,木瓜
paper,紙
pardon,原諒、饒恕
parent,父/母
park,公園
parrot,鸚鵡
part,部分(的)
partner,夥伴
party,派對
pass,及格、通過
passenger,乘客
past,過去
paste,貼上
path,小徑、道路
patient,有耐心的
pattern,圖案、樣式
pause,暫停
pay,付錢
pe,體育
peace,和平(不可數)
peaceful,和平的
peach,桃子
pear,梨子
pen,原子筆
pencil,鉛筆
people,人們
pepper,胡椒
perfect,完美的
perhaps,或許
period,期間、時代
person,人
personal,個人的
pet,寵物
phone,電話
photo,照片
physics,物理
piano,鋼琴
pick,挑、撿選
picnic,野餐
picture,圖、照片
pie,派
piece,一片(張、塊)
pig,豬
pigeon,鴿子
pile,堆、疊
pillow,枕頭
pin,大頭針
pineapple,鳳梨
pink,粉紅色(的)
pipe,導管、煙斗
pizza,披薩
place,地方
plain,平原
plan,計畫
planet,行星、星球
plant,種植
platform,月台
play,玩、打(球)、彈奏(樂器)
player,球員、選手
playground,操場
pleasant,令人愉悅的
please,請、使高興
pleasure,樂趣
plus,正的、加的
pocket,口袋
poem,詩
point,點
poison,毒(物)
polite,有禮貌的
pollute,污染
pollution,汙染(不可數)
pond,池塘
pool,水池
poor,貧窮、可憐的
popcorn,爆米花
popular,受歡迎的
population,人口(不可數)
pork,豬肉
position,位置
positive,正面的、正向的
possible,有可能的
postcard,明信片
pot,壺、鍋
potato,馬鈴薯
pound,英磅
powder,粉末(不可數)
power,力量(不可數)
practice,練習
praise,讚美
pray,祈禱
precious,珍貴的
prepare,準備
present,禮物
president,總統、總裁
pressure,壓力(不可數)
pretty,美麗、可愛的
priest,神父、牧師
primary,主要的、初等的
prince,王子
princess,公主
principal,校長
principle,原理、原則
print,列印
printer,印表機
private,私下的、私人的
prize,獎品/金
probably,或許
problem,問題
produce,生產、製造
production,產品
program,節目、課程
progress,進步(不可數)
project,計畫
promise,答應、承諾
pronounce,發音
protect,保護
proud,驕傲、自豪的
provide,提供
public,公開的、公共的
pull,拉
pump,打氣
pumpkin,南瓜
punish,處罰
puppy,小狗
purple,紫色(的)
purpose,目的、意圖
push,推
put,放置
puzzle,猜謎
quarter,一刻
queen,皇后
question,問題
quick,迅速的
quiet,安靜的
quite,相當地、十分
quiz,小考
rabbit,兔子
race,賽跑、競賽
radio,收音機
railroad,鐵路
railway,鐵路
rain,下雨
rainbow,彩虹
raincoat,雨衣
rainy,下雨的
raise,舉起、扶養、飼養
rare,稀少的
rat,老鼠
rather,相當
reach,抵達、伸出(手)
read,讀
ready,準備好的
real,真實的
realize,了解、領悟到
really,真地
reason,理由、理性
receive,收到
record,記錄
recover,復原、恢復
rectangle,長方形
recycle,回收
red,紅色(的)
refrigerator,冰箱
refuse,拒給、不准
regret,後悔
regular,有規律的、定期的
reject,拒絕、排斥
relative,親戚
remember,記得
remind,提醒、使想起
rent,租用
repair,修理
repeat,重複
report,報告、報導
reporter,記者
respect,尊敬
responsible,負責任的
rest,休息
restaurant,餐廳
restroom,洗手間
result,結果
return,返回、歸還
review,複習
revise,修改
rice,米、飯
rich,富有的
ride,騎
right,右邊(的)
ring,戒指
rise,上升
river,河流
road,馬路
rob,搶劫
robot,機器人
roc,中華民國
rock,岩石、搖滾樂
role,角色
roll,捲、點名
roof,屋頂
room,房間
root,根源
rope,繩子
rose,玫瑰花
round,圓的
row,排、行列
rub,摩擦
rude,粗魯、無禮的
ruin,破壞、毀壞
rule,規則
ruler,尺
run,跑步
running,跑步
rush,衝、奔
sad,傷心的
safe,安全的
safety,安全
sail,航行
sailing,航行
sailor,水手
salad,沙拉
sale,出售
salesman,銷售員
salt,鹽
same,一樣的
sample,樣品、實例
sand,沙子
sandwich,三明治
satisfy,使滿意
saturday,週六
saucer,碟子
save,節省、貯存
say,說
scared,害怕的、被嚇到的
scarf,圍巾
scene,景色、場景
scenery,風景(不可數)
science,自然
scientist,科學家
scooter,輕型機車
score,分數
screen,螢幕
sea,海
seafood,海鮮
search,搜尋
season,季節
seat,座位
second,秒
secondary,中等的、次要的
secret,秘密
secretary,秘書
section,部分、區域
see,看到
seed,種子
seem,似乎、看來好像
seesaw,翹翹板
seldom,很少
select,挑選
selfish,自私的
sell,賣
semester,學期
send,寄、送
sense,意識、觀念
sentence,句子
september,九月
serious,嚴重的、認真的
servant,僕人
serve,服務
service,服務(不可數)
set,一套
seven,七
seventeen,十七
seventy,七十
several,數個的
shake,搖晃、搖動
shape,形狀
share,分享
shark,鯊魚
sharp,尖銳的、銳利的
sheep,綿羊
sheet,考卷
shelf,架子
shine,下雪
ship,船、艦
shirt,襯衫
shoot,開槍、射籃
shop,零售店
shopkeeper,店主
short,短的、矮的
shorts,短褲
shoulder,肩膀
shout,吼叫
show,展現、秀
shower,陣雨
shrimp,蝦子
shut,關閉
shy,害羞的
sick,生病、想吐的
side,邊、面
sidewalk,人行道
sight,視力、看法
sign,簽名
silence,沉默(不可數)
silent,沉默的
silly,愚蠢、糊塗的
silver,銀子
similar,相似的
simple,簡單的、單純的
since,自從
sincere,真誠的
sing,唱歌
singer,歌手
singing,唱歌
single,單一的、獨身的
sink,水槽
sir,先生(尊稱)
sister,姐妹
sit,坐(下)
six,六
sixteen,十六
sixty,六十
size,尺寸
skate,溜冰
ski,滑雪
skiing,滑雪
skill,技巧、能力
skillful,有技巧的
skin,皮膚
skinny,皮包骨的
skirt,裙子
sky,天空
sleep,睡覺
sleepy,想睡的
slender,苗條、纖細的
slice,切(薄)片
slide,溜滑梯
slim,苗條、纖細的
slippers,拖鞋
slow,慢的
small,小的
smart,機警、瀟灑的
smell,聞(到)
smile,微笑
smoke,抽菸
snack,零食
snail,蝸牛
snake,蛇
sneakers,運動鞋
sneaky,鬼鬼祟祟的
snow,雪
snowman,雪人
snowy,下雪的
so,所以、也(倒裝)
soap,肥皂
soccer,足球
social,社會的、社交的
society,社會
socks,襪子
soda,蘇打(氣泡)水
sofa,沙發
softball,壘球
soldier,軍人
solve,解決、溶解
some,一些
sometimes,有時候
somewhere,某處
son,兒子
song,歌曲
soon,很快地
sorry,抱歉的、遺憾的
soul,靈魂、核心
sound,聽(到)
soup,湯
sour,酸的
south,南方(的)
space,空間、外太空
spaghetti,義大利麵
speak,講
speaker,擴音機
special,特別的、獨特的
speech,演講
speed,速度
spider,蜘蛛
spirit,精神
spoon,湯匙
sports,運動
spot,斑、汙點
spread,塗抹
spring,春天
square,正方形
stairs,樓梯
stamp,郵票
stand,站立
star,星星
start,開始
state,狀態、地位
station,車站
stay,停留、暫待
steak,牛排
steal,偷
steam,蒸氣
step,步伐、腳步
still,仍然、依然
stingy,小氣的
stomach,胃
stomachache,"胃(肚子)痛(mom, mommy) (媽媽)"
stone,石頭
stop,停止
store,商店
storm,暴風雨
stormy,暴風雨的
story,故事
stove,爐灶
straight,筆直的
strange,奇怪的、陌生的
stranger,陌生人
straw,吸管
strawberry,草莓
stream,溪流
street,街道
strike,侵襲、擊
strong,"強壯的(dad, daddy) (爸爸)"
student,學生
study,研讀
stupid,笨的、遲鈍的
style,風格、型態
subject,話題、主格
subway,地下鐵
succeed,成功
success,成功
successful,成功的
such,如此的
sudden,突然的
sugar,糖
suggest,建議
suit,套裝
summer,夏天
sun,太陽
sunday,週日
sunny,陽光充足的
super,超級的
supermarket,超市
supper,晚餐
support,支持
sure,當然的
surf,衝浪
surprise,使驚訝
surprised,感到驚訝的
survive,存活、生存
swallow,吞
swan,天鵝
sweater,毛衣
sweep,掃地
sweet,甜的
swim,游泳
swimming,游泳
swing,搖晃
symbol,象徵
system,系統
table,桌子
tail,尾巴
taiwan,台灣
take,拿取
talent,才華
talk,講話
talkative,愛說話、健談的
tall,高的
tangerine,橘子
tank,坦克車
tape,錄音帶
taste,嚐(到)
taxi,計程車
tea,茶
teach,教
teacher,老師
team,團隊
teapot,茶壺
tear,淚水
teenager,青少年
telephone,電話
tell,告訴
temperature,溫度、氣溫
temple,寺廟
ten,十
tennis,網球
tent,帳篷
term,任期、術語
terrible,可怕的
terrific,棒極了的
test,考試
textbook,教科書
than,比
thank,謝謝
thanksgiving,感恩節
that,那個
the,這
theater,劇院
their,他們的
themselves,他們自己
then,然後
there,那裏
therefore,因此
these,這些
thick,厚的、濃的
thief,小偷
thin,瘦的
thing,事情
think,想、認為
third,第三
thirsty,口渴的
thirteen,十三
thirty,三十
this,這個
those,那些
though,雖然
thought,想法
thousand,千
three,三
throat,喉嚨
through,穿越
throw,丟、擲
thumb,拇指
thunder,雷
thursday,週四
ticket,票、罰單
tidy,整齊的
tie,領帶
tiger,老虎
till,直到
time,時間
tiny,極小的
tired,疲累、厭煩的
title,標題、頭銜
to,到…
toast,烤吐司
today,今天
toe,腳趾
tofu,豆腐
together,一起
toilet,廁所
tomato,番茄
tomorrow,明天
tongue,舌頭
tonight,今晚
tool,工具
tooth,牙齒
toothache,牙痛
toothbrush,牙刷
top,上面(的)
topic,題目、主題
total,總計、全體的
touch,碰觸、摸到
toward,往、朝向
towel,毛巾
tower,塔
town,城鎮
toy,玩具
trace,追蹤
trade,貿易、交換
tradition,傳統
traditional,傳統的
traffic,交通
train,火車
trap,使落入圈套
trash,垃圾
travel,旅行
treasure,寶藏
treat,對待
tree,樹
triangle,三角形
trick,把戲、詭計
trip,旅行、行程
trouble,麻煩
trousers,長褲
truck,貨車
true,真實的
trumpet,喇叭
trust,信任、信賴
truth,真相(不可數)
try,嘗試、試圖
tub,浴缸
tube,管子
tuesday,週二
tunnel,隧道
turkey,火雞
turn,轉(彎)
turtle,烏龜
twelve,十二
twenty,二十
two,二
type,打字
typhoon,颱風
ugly,醜的
umbrella,傘
