a lot of	許多
contact lens	隱形眼鏡
contain	包含
continue	繼續
contract	合同
control	控制
convenience store	便利商店
conversation	談話
cookies	餅乾
cooking	烹調(n)  烹調用的
cool	涼爽
corn	穀物
cotton	棉花
cough	咳嗽(v)  咳嗽
countryside	農村
county	縣
couple	夫妻
courage	勇氣
court	庭院
crab	蟹
crayon	有色粉筆
cream	奶油
create	創造
creative	有創意的
credit card	信用卡
crime	犯罪
crisis	危機
crowd	群
crowded	擁擠的
cruel	殘酷的
culture	文化
culture center	文化中心
cure	治癒
curious	好奇的
current	水流
curtain	簾
curve	曲線
custom	風俗習慣
customer	顧客
daily	每日的(adj)  每日
damage	毀壞
dancing	跳舞
danger	危險
data	[計]資料
dawn	黎明
death	死
debate	辯論
debt	債務
decision	決定
decorate	裝飾
deep	深的
deer	鹿
degree	程度
delay	推遲
deliver	投遞
democracy	民主政治
democratic	民主的
deny	否認
department	部門
depend	依靠
describe	形容
desert	沙漠
design	設計(v)  設計
desire	願望
dessert	甜點
detect	發覺
determine	決定
determiner	(文法的)限定詞
develop	發展
dial	(電話的)撥號盤
diamond	鑽石
diary	日記
diet	通常所吃的食物
difference	差別
difficulty	困難
diligent	勤奮的
dinosaur	恐龍
diplomat	外交官
direct	直接的(adj)  指示
direction	方向
director	指導者
disappear	消失
discover	發現
discuss	討論
discussion	討論
dishonest	不誠實的
distance	距離
divide	分
division	分開
dizzy	暈眩的
document	公文
dolphin	海豚
donkey	驢子
double	兩倍的
double tenth day	雙十節
doubt	懷疑
doughnut	甜甜圈
downstairs	樓下(的)
downtown	往市中心
dragon-boat festival	端午節
drama	戲劇
drawing	畫畫
dresser	碗櫃
drinks	飲料
drug	藥
drugstore	藥局
dryer	烘乾機
dumb	啞的
dumpling	餃子
duty	職責
eagle	鷹
earn	賺得
earrings	耳環
eastern	東方的
edge	邊
education	教育
effect	結果
effective	有效的
effort	努力
eighteenth	第十八
either xxx or	或者…或者…
elder	年齡大的
elect	選舉
election	選舉
electric	電的
electricity	電
element	要素
eleventh	第十一(num)  十一
emotion	情感
emphasize	強調
employ	雇用
empty	空的
encourage	鼓勵
enemy	敵人
energy	精力
engine	引擎
engineer	工程師
england	英格蘭
englishman	英格蘭人
entire	全部的
entrance	入口
envelope	信封
environment	環境
envy	羡慕
equal	相等的
error	錯誤
especially	特別
europe	歐洲
european	歐洲的(adj)  歐洲
even if	即使
event	事件
everywhere	到處
evil	壞的
exact	精確的
exam	(口語)考試
examine	檢查
excite	使…興奮
exercising	運動
exist	存在
exit	出口
expect	預料
expensive	昂貴的
expensive fruit	高級水果
experience	經驗
explain	解釋
explore	探索
express	表示
extra	額外的
extra large	特大號的
eyebrow	眉毛
fail	失敗
failure	失敗
fair	公平的
false	假的
family name	姓
fancy	奇特的
fantastic	幻想的
fashionable	流行的
fast food	速食
fast food restaurant	速食餐廳
faucet	(容器或水管的)龍頭
fault	過失
favor	好感
fear	害怕
feather	羽毛
feeling	感覺
fellow	人
fence	柵欄
fever	發燒
field	田地
fifteenth	第十五
figure	數字
film	電影
final	最後的
fire station	消防站
firm	商行
first grade	一年級
first name	名
fishing	釣魚
fit	適合
flag	旗(幟)
flashlight	手電筒
flat	平的
flat tire	洩了氣的輪胎
flight	飛翔
flour	麵粉
flow	流(動)  垂
flower shop	花店
flu	流行性感冒(等於infl
focus	(使)聚焦
fog	霧(n)  霧
foggy	多霧的
food restaurant	餐廳
fool	蠢人
foolish	愚蠢的
football	足球
force	強迫
forest	森林
forgive	原諒
form	形式
former	在前的
forward	向前的
fourteenth	第十四
france	法國
frank	率直的
freedom	自由
freezer	冷凍裝置
freezing	結冰的
french	法國的
fried chicken	炸雞
fried rice	炒飯
friendship	友誼
frighten	使…驚恐
fry	煎
function	官能
funny	有趣的
furniture	傢俱
gain	獲得
garage	車庫
gas station	加油站
gather	聚集
general	一般的
generally	一般地
generation	代
generous	慷慨的
gentle	和藹的
gentleman	先生
geographical	地理(學)的
geography	地理(學)
german	德國(人)的
germany	德國
gesture	(表達情意的)姿勢
get in	進入
get off	下車
get on	上車
girlfriend	女朋友
given name	名字
gloves	手套
goal	球門
god	神(God)上帝
gold	金
golden	金(黃)色的
golf	高爾夫
good looking	美貌的
goodness	善良
government	政府
grand	盛大的
granddaughter	孫女
grandson	孫子
grapefruit	葡萄柚(樹)
greedy	貪食的
greet	問候
grow up	長大
guard	看守
guest	客人
guide	嚮導
gun	槍
haircut	理髮
hairdresser	美髮師
hall	大廳
hammer	槌
handkerchief	手帕
handle	柄
hang	懸掛
hanger	掛衣架
hardly	簡直不
headache	頭痛
heater	加熱器
height	高
helicopter	直升飛機
hero	英雄
highway	公路
hiking	步行
hip	臀部
hippopotamus	河馬
hire	雇傭
hole	洞
homesick	想家的
honesty	正直
hong kong	香港
horrible	恐怖的
host	(款待客人的)主人
housework	家務勞動
huge	巨大的
human	人的
humble	謙遜的
humid	有濕氣的
humor	幽默
humorous	幽默的
hunger	饑餓
hunter	獵人
ill	有病的
illness	疾病
imagine	料想
impolite	無禮的
importance	重要
impossible	不可能的
improve	改善
in back of	在(某人)之後
in front of	在…的前面
include	包括
income	收入
increase	(使…)增加
indefinite	不確定的
independent	獨立的
industry	工業
influence	影響
information	消息
ink	墨水
insist	(on
inspire	鼓舞
instant	瞬間
instant noodle	速食麵
instrument	器械
intelligent	有智力的
international	國際的
interrupt	打斷
interview	接見
introduce	介紹
invent	發明
invitation	邀請
iron	鐵
italy	義大利
jam	果醬
japan	日本
japanese	日本(人)的
jar	甕
jazz	爵士樂
jealous	妒忌的
jeep	吉普車
jogging	慢跑
joke	笑話
journalist	新聞工作者
judge	法官
kaohsiung	高雄
ketchup	蕃茄醬
kilometer	公里
kind	親切的
kindergarten	幼稚園
kingdom	王國
kitten	小貓
kitty	(兒語)小貓
korea	韓國
korean	韓國(人
ktv	卡拉OK電視節目
lack	缺乏
lady	淑女
lamb	小羊(肉)  羔羊(肉)
lane	小路
lantern festival	元宵節
last name	姓
law	法律
lawyer	律師
lay	放
ld	雷射光碟
leaf	葉子(書刊的)張
leave	離開
length	長度
lettuce	萵苣
level	水平
lift	提
light	輕的
lightning	閃電
limit	限度
link	(鏈)環
liquid	液體的
loaf	一條(塊)麵包
local	本地的
location	場所
lock	鎖(n)  鎖(被)鎖上
locker	(有鎖的)小櫥櫃
london	倫敦
los angeles	洛杉磯
loser	損失者
loss	遺失
lot	許多
luggage	行李
lunch box	午餐盒
lychee	荔枝
ma'am	(對女主人
mad	發病的
magazine	雜誌
magician	魔法師
main	主要的
major	較大的
make	製作
male	雄的
mall	散步式商店街
manager	管理者
mandarin	標準中國話
mango	芒果
manner	禮貌
marriage	結婚
marry	結婚(vi)  娶
mass	眾多
master	主人
match	火柴
material	材料
maximum	最大限度
meaning	意義
measure	量
measurement	測量
mechanic	機械工
melon	(各種的)瓜
member	成員
memory	記憶
men's room	男廁
message	訊息
metal	金屬的
meter	米
method	方法
michael jackson	麥可傑克森(人名)
microwave	微波
microwave oven	微波爐
mid-autumn festival	中秋節
middle	中間
midnight	午夜
milk shake	奶昔
minor	較小的
minus	減
mirror	鏡子
missing	失去的
mix	(使…)混合
model	模型
modern	現代的
monster	怪物
moon cake	月餅
mop	拖把(俗稱地拖)  洗碗
mosquito	蚊子
mother's day	母親節
motion	運動
mountain-climbing	登山
movement	運動
movie star	電影明星
movie theater	電影院
mtv	音樂電視 Music T
musician	音樂家
napkin	餐巾
narrow	狹窄的
nation	國家
nationality	國民性
natural	自然的
naughty	調皮的
nearly	幾乎
necessary	必要的
necklace	項圈
needle	針
negative	負的
neither	也不(conj
neither xxx nor	既不…也不…
nephew	侄子
nervous	神經緊張的
nest	巢
new year's day	新年元旦
new york	紐約
next to	緊挨著
nice looking	美貌的
niece	侄女
nineteenth	第十九
ninetieth	第九十
noisy	喧鬧的
none	沒有一人(或物)  沒有
noodles	麵
nor	也不
northern	北方的
not only xxx but also	不僅…而且…
note	便條
num	數詞
nut	堅果(如核桃
o	受詞
obey	順從
object	物體
oc	受詞補語
occupation	職業
occur	發生
ocean	洋
offer	給予
official	官方的
oh	噢
oh-oh	哦哦
omit	省略
oneself	自己
onion	洋蔥
oops	噢！(等於whoops)
operate	運行
operation	運轉
opinion	意見
ordinary	一般的
organize	組織
out of	出於…
outer space	外太空
oven	烤爐
over-weight	超重
overpass	陸橋
overseas	(在)海外的;(在)國外
owner	所有人
pain	疼痛
painful	疼痛的
paint	油畫
painter	畫家
painting	繪畫
pajamas	睡衣
pale	蒼白的
pan	平底鍋
panda	熊貓
pardon	原諒
parents	父母
paris	巴黎
parking lot	停車場
parrot	鸚鵡
particular	特定的
partner	搭檔
passenger	乘客
passport	護照
paste	糊狀物
path	小路
patient	忍耐的
pattern	型
pause	暫停
peace	和平
peaceful	和平的
pencil box	鉛筆盒
pencil case	鉛筆盒
pepper	胡椒粉
perfect	完美的
period	(一段)時間
personal	個人的
philippines	菲律賓
photograph	照片
photographer	攝影師
pigeon	鴿子
pile	一堆
pillow	枕頭
pineapple	鳳梨
pingpong	乒乓球
plain	平原(n)  樸素的
plant	植物
plastic	塑膠的
platform	月臺
play	玩
pleasant	令人愉快的
pleased	滿意的
pleasure	高興
plus	加
poem	詩
poison	毒
police officer	警官
police station	警察局
policeman	警察
pollute	弄髒
pollution	污染
pop music	流行音樂
popular	受歡迎的
population	人口
port	港口
position	位置
positive	確信的
possessive	擁有的
post	張貼
pot	罐
potato	馬鈴薯
power	權力
praise	稱讚
precious	珍貴的
prefer	更喜歡
preposition	介系詞
president	總統
press	壓
pretty	漂亮的
priest	僧侶
primary	第一的
primary school	小學
principal	校長
print	印刷
printer	印表機
prison	監獄
prisoner	囚犯
private	私人的
probably	大概
produce	生產
product	產品
production	生產
professor	教授
progress	前進
project	專案
promise	允諾
pronoun	代名詞
pronounce	發音
protect	保護
prove	證明
provide	供給
pump	抽水機
pumpkin	南瓜
punish	懲罰
purpose	目的
purse	錢包
puzzle	(使)迷惑(使)為難(v
quality	品質
quarter	四分之一
quickly	快
quit	停止
quiz	測驗
race	比賽
raincoat	雨衣
raise	舉起
rapid	快的
rare	稀有的
rather	相當
reach	到達
reading	閱讀
reading test	閱讀測驗
realize	實現
reason	理由
receive	接見
recent	新近的
recently	最近
record	記錄
recover	重新獲得
rectangle	長方形
recycle	使再迴圈
reflexive	反身代名詞
refuse	拒絕
regard	看待
regret	遺憾
regular	有規律的
reject	拒絕
relative	相對的(adj)  親戚
relax	放鬆
remind	提醒
rent	租金(n)  租用(vt
repair	修理
reply	回答
report	報告(書)
republic of china	中華民國
require	需要
respect	尊敬
responsible	有責任的
rest	休息
result	結果
return	返回
review	評論
revise	修訂
rob	搶劫
role	角色
roll	(使…)滾動
roller skating	輪式溜冰
rome	羅馬
roof	屋頂
root	根(部)
rub	摩擦
rubber	橡皮
rubber band	橡皮筋
rude	無禮的
rule	規則
running	奔跑的
running nose	流鼻水
rush	衝
russia	俄羅斯
russian	俄羅斯(人)的
s	主詞
safety	安全
sail	帆
sailing	航行
sailor	水手
salesman	銷售員
sample	樣品
san francisco	舊金山
sand	沙(複)沙灘
satisfied	滿意的
satisfy	使…滿足
saucer	碟子
sc	主詞補語
scarf	圍巾
scene	(戲劇等的)一場
schoolmate	校友
scientist	科學家
score	得分
seafood	海鮮
search	搜
second grade	二年級
secondary	第二的
secret	秘密的
secretary	秘書
section	切斷
seek	尋找
seem	好像
select	挑選
selfish	自私的
semester	學期
sense	感言
separate	分離的
servant	僕人
serve	為…服務/盡責
service	服務
set	(一)套
seventeenth	第十七
sheet	(一)張
shelf	棚
shine	照耀
shock	震動
shoot	嫩枝
shopping	購物
shore	岸
shot	(shoot的過去式個過
shower	陣雨
shrimp	小蝦
shut	關(閉)
sight	視力
sign	標記
silence	寂靜
silent	寂靜的
silly	傻的
silver	銀色的(adj)  銀色
similar	相似的
simply	簡單地
sincere	真誠的
singapore	新加坡
singing	(歌)唱
single	單一的
sink	沉
sixteenth	第十六
skating	滑冰
ski	滑雪板
skiing	滑雪(運動)  滑雪技術
skill	技能
skillful	靈巧的
skin	皮(膚)  外皮
skinny	皮的
sleepy	困乏的
slender	細長的
slide	滑行
slim	苗條的
slippers	拖鞋
snail	蝸牛
sneakers	膠底運動鞋
sneaky	鬼祟的
soap	肥皂
social	社交的
social science	社會科學
society	社會
soda	汽水
soft	軟的
soft drink	碳酸飲料
softball	壘球
soldier	士兵
solve	解釋
sore throat	喉嚨痛
sort	種類
soul	靈魂
sour	酸的
southern	南方的
soy-sauce	醬油
spaghetti	義大利麵條
speaker	說話者
speech	說話
speed	速度
spirit	精神
sport	(體育)運動;(複)運動
spread	推開
stage	階段
stairs	樓梯
stamp collecting	集郵
standard	標準
state	狀態
stationery	文具
stationery store	文具店
steal	偷
steam	(蒸)汽(n)  冒蒸汽
step	步
stick	捧
stingy	吝嗇的
stomachache	肚子痛
stone	石頭
storm	暴風雨
stormy	暴風雨的
stove	爐
straight	直的
straw	稻草
stream	小河
strike	打
struggle	鬥爭
style	作風
subject	主題
submarine	潛艇
subway	地鐵
succeed	成功
success	成就
successfully	成功地
such	這樣的
sudden	突然的
suddenly	突然地
suggest	建議
suit	合適
suitcase	衣箱
supper	晚餐
support	支援
surface	表面
surfing	衝浪
survive	活下來
swallow	吞咽(v)  燕子
swan	天鵝
sweep	(打)掃
swimming	游泳
swimsuit	游泳衣
symbol	象徵
table cloth	桌布
table tennis	乒乓球
tableware	餐具
taichung	台中
tainan	台南
taipei	台北
taiwanese	台灣的
take	拿
talent	才能
talkative	多嘴的
tangerine	椪柑
tank	槽
tape recorder	錄音機
task	任務
teacher's day	教師節
teapot	茶壺
tear	眼淚(n)  撕裂
temperature	溫度
temple	神殿
tent	帳蓬
term	學期
terrific	令人恐怖的
textbook	教科書
thanksgiving	感謝
thanksgiving day	感恩節
therefore	因此
thief	小偷
thirteenth	第十三
thirtieth	第三十(num)  三十
thought	思想
throat	咽喉
through	穿過
throughout	遍及
thumb	拇指
thunder	雷(n)  打雷
thus	如此
tidy	整潔的
till	直到(…為止)(prep
tiny	極小的
tip	頂
title	標題
tofu	豆腐
toilet	浴室
tokyo	東京
tongue	舌頭
tool	工具
toothache	牙痛
toothbrush	牙刷
topic	題目
tour	旅行
tourist	觀光客
toward	(表示方向)朝
tower	塔(樓)
trace	追蹤
track	跑道
trade	貿易
tradition	傳統
traditional	傳統的
traffic jam	交通阻塞
traffic light	交通燈號誌
traffic lights	紅綠燈
traffic sign	交通號誌
train station	火車站
transportation	運輸
trap	陷阱
trash can	垃圾桶
travel	旅行
traveling	旅行的
treasure	財寶
treat	對待
triangle	三角板
trick	欺詐
trousers	褲子
trumpet	喇叭
trust	信任
truth	真相
tub	桶
tummy	(兒語)肚子
tunnel	隧道
twelfth	第十二(num)  十二
twentieth	第二十(num)  二十
type	類型
typewriter	打字機
ugly	醜陋的
uh-uh	嗯嗯
uncle	叔叔
under-weight	重量不足
underlie	位於…的下面
underpass	地道
underwear	內衣
unfriendly	不友善地
uniform	制服
unique	唯一的
unit	個體(計量)單位(軍隊的
universe	宇宙
university	大學
upon	(同on)在…上
upstairs	在樓上
used	用過的
usual	通常的
valentine's day	西洋情人節
valley	山谷
valuable	貴重的
value	價值
vcr	錄影機
verb	動詞
victory	勝利
village	村莊
vinegar	醋
visitor	參觀者
vocabulary	字彙
volleyball	排球
vote	投票
voter	投票者
waist	腰
walkman	隨身聽
war	戰爭
washing machine	洗衣機
waste	浪費
waterfall	瀑布
watermelon	西瓜
wave	揮動
wedding	婚禮
weekday	周一到周五的通稱
weight	重量
western	西的
whale	鯨魚
whatever	無論什麼
wheel	輪
while	在(當)…的時候
whole	全部的
whom	(who的受格)誰
wide	寬闊的
wild	野生的
willing	願意的
wine	(葡萄)酒
wing	翅膀
winner	贏家
within	在…內
wolf	狼
women's room	女廁所
wonder	感到驚訝
wood	木材
wooden	木製的
woods	樹林
worried	煩惱的
worse	較差的
worth	值得
wound	創傷
wow	哎喲
wrist	手腕
youth	青春
youth day	青年節
yucky	令人厭惡的
yummy	好吃的
